,Forest area,fossil_fuel_consumption,renewables_consumption,population,total_ghg,gdp
0,1.0,9.999999999998899e-05,0.16662000325994575,9.999999999998899e-05,9.999999999976694e-05,9.999999999998899e-05
1,0.9604336571870089,0.038593263113308685,0.17389594020328092,0.03809805639359465,0.03489109494790554,0.01501260702222762
2,0.9208673143740178,0.15400822715327955,9.999999999998899e-05,0.07667623578556504,0.10683200314527141,0.04310566671415628
3,0.8813009715610285,0.2034440008990006,0.18198678208426966,0.11542845207704788,0.1858490662472967,0.08176680079729848
4,0.8417346287480374,0.2462805591092977,0.3196475090521709,0.15418066836853095,0.22693007666601162,0.11861431334433492
5,0.8021682859350463,0.26796246110093,0.31849500064034664,0.19258481086098866,0.2872739532140747,0.15763022652527503
6,0.762601943122057,0.26381364190380696,0.4257597734337708,0.23058286725458332,0.2978881855710629,0.17375291526220094
7,0.7230356003090659,0.351435839009716,0.302068845397073,0.26817483754931537,0.39675779437782577,0.2014029842920827
8,0.6834692574960748,0.36772859773175204,0.28121892049225194,0.3053027094453471,0.43095920975034385,0.2059467228984917
9,0.6439029146830837,0.22281380052556954,0.37317512195689906,0.34214051984219074,0.22869911539217558,0.17038763380503208
10,0.6043365718700926,0.2221352957193734,0.2812072789931426,0.37874628103968444,0.31439921368193424,0.19369736487968225
11,0.5700204276883856,0.19344361795926834,0.30090469548613963,0.41506198073799005,0.11076320031452713,0.20745771091417387
12,0.5357042835066768,0.16341653902008912,0.36869314479980453,0.45097159433743306,0.0911072144682521,0.22837425608210682
13,0.5013881393249715,0.18593684822447354,0.4318599189670629,0.48630108493850077,0.1349400629054447,0.2620459878190885
14,0.4670719951432645,0.18701726989039102,0.49312912877949966,0.5206443664423301,0.18191786907804186,0.3097561479203762
15,0.43275585096155567,0.18187878444728744,0.514467996646913,0.553827401949408,0.22162296048751706,0.3539777359959083
16,0.39843970677984863,0.3123764349434667,0.6119189856911669,0.5859082037595731,0.2473723019461369,0.4200994795860906
17,0.3641235625981416,0.3017753375574842,0.6549925323957109,0.617060808772337,0.3625563790053077,0.49268949548138896
18,0.3298074184164328,0.4069954427578576,0.7060055814928223,0.64705316778835,0.38063988598388043,0.5324956526803286
19,0.29549127423472576,0.38749599253137845,0.5503703799001061,0.6757692562079369,0.4606397483782185,0.5515430996687192
20,0.26117513005301873,0.5043932950969884,0.5379489003504443,0.7032090740310974,0.5479123255356786,0.5983959831880323
21,0.23720967245511027,0.4938656663842881,0.776657839587384,0.7287344859596194,0.1262914291330839,0.6794701009718309
22,0.21324421485720002,0.6306470492894437,0.7456099614627842,0.7526935657925273,0.0956280912128955,0.7326433739127918
23,0.18927875725929155,0.6973393178831989,0.6371693972593171,0.7770007194244606,0.2275197562413993,0.799314208787754
24,0.1653132996613813,0.7970449509007295,0.6520588746201581,0.8044405372476211,0.2937604285433455,0.8624738532871534
25,0.14134784206347284,0.8114404891774144,0.645097258152775,0.8365213390577861,0.3283549636327896,0.9082308571961595
